timestamp,calibration_percent,is_artifacted_sequence,mental_param_1,mental_param_2,mental_param_3,spectral_delta,spectral_theta,spectral_alpha,spectral_beta,spectral_gamma,attention_state
2025-05-19T13:32:36.126192,100,0,21.27526051,0,46.75277767,0,0.359536342,0.369736867,0.270726791,0,Neutral
2025-05-19T13:32:36.173770,100,0,21.00717575,0,46.62253275,0,0.357385012,0.371477067,0.27113792,0,Neutral
2025-05-19T13:32:36.234361,100,0,20.75672025,0,46.50085273,0,0.35493435,0.373272272,0.271793379,0,Neutral
2025-05-19T13:32:36.294031,100,0,20.52436339,0,46.38796567,0,0.352176078,0.375129787,0.272694134,0,Neutral
2025-05-19T13:32:36.297148,100,0,20.31053663,0,46.28408118,0,0.349149409,0.377026339,0.273824252,0,Neutral
2025-05-19T13:32:36.355375,100,0,20.1154484,0,46.18930052,0,0.345849372,0.378967984,0.275182645,0,Neutral
2025-05-19T13:32:36.410513,100,0,19.93900591,0,46.10357861,0,0.342277867,0.380954146,0.276767987,0,Neutral
2025-05-19T13:32:36.417161,100,0,19.78116568,0,46.02689432,0,0.33845358,0.382968333,0.278578087,0,Neutral
2025-05-19T13:32:36.473983,100,0,19.64170075,0,45.9591374,0,0.334389633,0.385005191,0.280605176,0,Neutral
2025-05-19T13:32:36.476873,100,0,19.52039196,0,45.90020136,0,0.330103786,0.387055847,0.282840367,0,Neutral
2025-05-19T13:32:36.534595,100,0,19.41673224,0,45.84983986,0,0.325600072,0.389118999,0.28528093,0,Neutral
2025-05-19T13:32:36.656547,100,0,19.33026969,0,45.80783333,0,0.320917653,0.391169899,0.287912448,0,Neutral
2025-05-19T13:32:36.659344,100,0,19.26034297,0,45.7738605,0,0.316041133,0.393231185,0.290727683,0,Neutral
2025-05-19T13:32:36.663119,100,0,19.20625453,0,45.74758245,0,0.311001169,0.395278723,0.293720108,0,Neutral
2025-05-19T13:32:36.667450,100,0,19.16724079,0,45.72862821,0,0.305799521,0.397312711,0.296887769,0,Neutral
2025-05-19T13:32:36.775291,100,0,19.14243725,0,45.71657779,0,0.300452143,0.399333866,0.300213991,0,Neutral
2025-05-19T13:32:36.778821,100,0,19.13085175,0,45.71094915,0,0.294979781,0.40132615,0.303694069,0,Neutral
2025-05-19T13:32:36.834770,100,0,19.13164529,0,45.71133468,0,0.289416836,0.403262418,0.307320746,0,Neutral
2025-05-19T13:32:36.890122,100,0,19.14390528,0,45.71729101,0,0.283758915,0.405166318,0.311074768,0,Neutral
2025-05-19T13:32:36.953350,100,0,19.16644584,0,45.728242,0,0.278026958,0.407033372,0.31493967,0,Neutral
2025-05-19T13:32:36.956508,100,0,19.19837228,0,45.74375297,0,0.272236005,0.408852427,0.318911568,0,Neutral
2025-05-19T13:32:36.959566,100,0,19.23871854,0,45.76335459,0,0.266371977,0.410629385,0.322998638,0,Neutral
2025-05-19T13:32:37.078773,100,0,19.28654184,0,45.78658882,0,0.260468702,0.412352363,0.327178934,0,Neutral
2025-05-19T13:32:37.194563,100,0,19.34095974,0,45.81302693,0,0.254554378,0.41400084,0.331444782,0,Neutral
2025-05-19T13:32:37.203500,100,0,19.40116684,0,45.84227764,0,0.248623384,0.415583535,0.335793082,0,Neutral
2025-05-19T13:32:37.253738,100,0,19.53562513,0,45.90760216,0,0.236791497,0.418547565,0.344660938,0,Neutral
2025-05-19T13:32:37.257189,100,0,19.60833979,0,45.94292948,0,0.230929151,0.41990932,0.349161528,0,Neutral
2025-05-19T13:32:37.449708,100,0,19.68370902,0,45.97954648,0,0.225119092,0.421192205,0.353688703,0,Neutral
2025-05-19T13:32:37.502073,100,0,19.76101568,0,46.01710475,0,0.219370004,0.42239165,0.358238346,0,Neutral
2025-05-19T13:32:37.553143,100,0,19.83981701,0,46.05538918,0,0.213700959,0.42350448,0.362794561,0,Neutral
2025-05-19T13:32:37.559535,100,0,19.91973166,0,46.09421451,0,0.208058525,0.424570063,0.367371413,0,Neutral
2025-05-19T13:32:37.563878,100,0,20.00030621,0,46.13336043,0,0.202505373,0.425552817,0.37194181,0,Neutral
2025-05-19T13:32:37.613852,100,0,20.08112787,0,46.17262641,0,0.197041109,0.426462293,0.376496598,0,Neutral
2025-05-19T13:32:37.733465,100,0,20.16181918,0,46.21182906,0,0.191696126,0.427286424,0.38101745,0,Neutral
2025-05-19T13:32:37.739912,100,0,20.24197393,0,46.25077103,0,0.186479741,0.428026484,0.385493775,0,Neutral
2025-05-19T13:32:37.744440,100,0,20.32132475,0,46.28932243,0,0.181419036,0.428666903,0.389914061,0,Neutral
2025-05-19T13:32:37.799003,100,0,20.39966793,0,46.32738427,0,0.176516995,0.429214288,0.394268717,0,Neutral
2025-05-19T13:32:37.913915,100,0,20.47690588,0,46.36490916,0,0.171796551,0.429659753,0.398543696,0,Neutral
2025-05-19T13:32:37.919920,100,0,20.55285369,0,46.40180726,0,0.16726485,0.430019762,0.402715388,0,Neutral
2025-05-19T13:32:37.924442,100,0,20.62755089,0,46.43809776,0,0.162903687,0.430300372,0.40679594,0,Neutral
2025-05-19T13:32:37.974033,100,0,20.70099101,0,46.47377753,0,0.158739056,0.430495427,0.410765517,0,Neutral
2025-05-19T13:32:38.033099,100,0,20.77313652,0,46.50882833,0,0.154789805,0.430597986,0.414612208,0,Neutral
2025-05-19T13:32:38.093065,100,0,20.84404945,0,46.5432803,0,0.151024574,0.430635643,0.418339783,0,Neutral
2025-05-19T13:32:38.096073,100,0,20.91372936,0,46.57713323,0,0.147445049,0.430621296,0.421933655,0,Neutral
2025-05-19T13:32:38.158751,100,0,20.98230093,0,46.61044769,0,0.144086214,0.430533747,0.425380039,0,Neutral
2025-05-19T13:32:38.333729,100,0,21.05000074,0,46.64333862,0,0.140951279,0.430373822,0.428674899,0,Neutral
